user_total_orders,user_orders_30d,user_orders_7d,user_total_amount,user_avg_order_amount,user_max_order_amount,user_refund_count,user_postsale_count,user_refund_rate,user_postsale_rate,user_refund_amount,user_cancel_count,user_complaint_count,user_address_count,order_total_amount,order_item_count,order_sku_count,order_discount_amount,order_discount_rate,order_pay_interval_sec,order_is_night,order_category_count,addr_total_count,addr_province_count,addr_is_new,label,scenario
2.0000,1.0000,0.0000,4683.7300,2341.8701,3226.9199,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,3091.5701,1.0000,1.0000,245.1400,0.0793,266.4900,0.0000,1.0000,3.0000,1.0000,0.0000,0,正常报名
1.0000,1.0000,1.0000,1171.9200,1171.9200,2540.6699,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,2132.5200,1.0000,1.0000,109.0800,0.0512,1133.4800,0.0000,1.0000,2.0000,2.0000,0.0000,0,正常报名
12.0000,4.0000,0.0000,25662.5801,2138.5500,2263.1399,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,806.5300,1.0000,1.0000,106.5200,0.1321,1320.3700,0.0000,5.0000,3.0000,2.0000,0.0000,0,正常报名
2.0000,0.0000,0.0000,2444.3799,1222.1899,1725.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,9153.7256,1.0000,1.0000,131.2000,0.1265,1938.4100,1.0000,1.0000,3.0000,1.0000,0.0000,0,凌晨大额标记
7.0000,5.0000,0.0000,9807.5996,1401.0900,3559.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,3559.7800,1.0000,1.0000,537.3800,0.1510,1585.7000,0.0000,4.0000,3.0000,2.0000,0.0000,0,正常报名
6.0000,5.0000,0.0000,3487.8101,581.3000,4008.0601,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,976.0703,1.0000,1.0000,342.8600,0.0855,1404.1023,0.0000,3.0000,3.0000,1.0000,0.0000,0,正常退费
12.0000,3.0000,0.0000,5504.6401,1376.1600,3940.5300,12.0000,12.0000,1.0000,1.0000,5117.2056,0.0000,0.0000,1.0000,3940.5300,1.0000,1.0000,160.4300,0.0407,916.9100,0.0000,1.0000,1.0000,1.0000,1.0000,1,极高退费率
5.0000,2.0000,0.0000,3239.1001,647.8200,1866.4200,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,2352.9116,1.0000,1.0000,240.6700,0.1289,231.5627,0.0000,1.0000,3.0000,1.0000,0.0000,0,正常退费
11.0000,0.0000,0.0000,28606.2500,2600.5701,3951.8601,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,2972.6899,1.0000,1.0000,24.1700,0.0081,1390.5400,0.0000,3.0000,2.0000,1.0000,0.0000,0,正常报名
1.0000,0.0000,0.0000,440.1600,440.1600,3191.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,3191.2900,1.0000,1.0000,27.0800,0.0085,2176.2400,0.0000,1.0000,3.0000,2.0000,0.0000,0,正常报名
10.0000,0.0000,0.0000,7806.6201,780.6600,4396.1802,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,4396.1802,1.0000,1.0000,319.4400,0.0727,1392.6000,0.0000,4.0000,3.0000,2.0000,0.0000,0,正常报名
6.0000,1.0000,0.0000,11989.9502,1998.3199,2784.8501,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,6563.4487,1.0000,1.0000,52.8900,0.0608,0.1823,0.0000,3.0000,2.0000,1.0000,0.0000,1,零学时大额退费
8.0000,2.0000,1.0000,6354.2300,794.2800,3067.7100,1.0000,1.0000,0.1250,0.1250,524.0300,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,2.0000,0.0000,0,正常学历认证
9.0000,3.0000,0.0000,9568.9199,1063.2100,4384.4702,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,5164.2847,1.0000,1.0000,741.5900,0.1691,1475.7300,1.0000,5.0000,3.0000,1.0000,0.0000,0,凌晨大额标记
8.0000,3.0000,0.0000,24824.4395,3103.0500,5178.7300,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,2901.8501,1.0000,1.0000,201.6200,0.0695,1704.0100,0.0000,4.0000,1.0000,2.0000,0.0000,0,正常报名
6.0000,3.0000,2.0000,20125.5391,3354.2600,6506.4199,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,928.6600,1.0000,1.0000,113.0800,0.1218,1217.7600,0.0000,4.0000,3.0000,2.0000,0.0000,0,正常报名
