sample_id,source_work_order_id,label,scenario,supplier_risk_level,supplier_qualification_days,iqc_defect_rate,inventory_hold_flag,material_critical_flag,issue_over_bom_ratio,work_order_progress_ratio,scrap_rate,process_parameter_deviation,equipment_maintenance_overdue_days,equipment_calibration_overdue_days,equipment_alarm_flag,quality_hold_flag,shipment_release_gap_flag,customer_complaint_count_30d,complaint_claim_amount
MFG-S00001,WO0001,1,重复高额客户投诉,0.0,322.0,0.159298,0.0,1.0,0.776396,0.979647,0.007853,0.138818,0.0,0.0,0.0,0.0,0.0,3.0,22234.302734
MFG-S00002,WO0002,1,多维叠加高风险,1.0,-17.362906,0.0,1.0,1.0,1.336125,0.873009,0.000466,1.36165,2.577709,0.0,1.0,0.0,1.0,3.0,51367.449219
MFG-S00003,WO0003,0,正常生产,0.5,141.0,0.02,0.0,1.0,0.787457,0.888967,0.01215,0.101444,1.0,0.0,0.0,0.0,0.0,1.0,1264.292358
MFG-S00004,WO0004,1,未检关键物料领料并超BOM,0.0,172.0,0.0,1.0,1.0,1.445582,0.9701,0.140515,0.181992,0.0,0.0,0.0,0.0,0.0,1.0,127.577492
MFG-S00005,WO0005,1,关键参数越限且质量冻结发运,0.5,30.0,0.02,0.0,1.0,0.83137,0.890413,0.004237,1.605127,0.0,0.0,0.0,1.0,1.0,1.0,417.551208
MFG-S00006,WO0006,0,正常生产,0.5,30.0,0.0,0.0,1.0,0.783159,0.987488,0.023829,0.642964,0.0,0.0,0.0,0.0,0.0,0.0,1140.717529
MFG-S00007,WO0007,1,关键设备维护校准逾期并报警,0.5,200.0,0.02,0.0,1.0,0.767518,1.00842,0.059399,0.156128,33.42173,19.206364,1.0,0.0,0.0,1.0,1159.259644
MFG-S00008,WO0008,0,正常生产,0.5,110.0,0.0,0.0,0.0,0.956949,1.001325,0.023879,0.129153,0.0,1.0,0.0,0.0,0.0,0.0,1292.942627
MFG-S00009,WO0009,0,正常生产,0.0,322.0,0.02,0.0,1.0,1.015888,1.027452,0.013068,0.512619,0.0,1.0,0.0,0.0,0.0,1.0,558.919373
MFG-S00010,WO0010,0,正常生产,0.0,231.0,0.0,0.0,1.0,0.856713,0.854697,0.023994,0.698992,0.0,0.0,0.0,0.0,0.0,0.0,272.362915
MFG-S00011,WO0011,1,未检关键物料领料并超BOM,0.5,141.0,0.02,1.0,1.0,1.525856,0.876361,0.125,0.744882,0.0,0.0,0.0,0.0,0.0,1.0,812.857117
MFG-S00012,WO0012,0,正常生产,0.0,172.0,0.0,0.0,0.0,1.048315,0.911524,0.020091,0.564668,0.0,0.0,0.0,0.0,0.0,0.0,1425.467651
MFG-S00013,WO0013,1,关键设备维护校准逾期并报警,0.5,30.0,0.03,0.0,1.0,1.037486,1.025313,0.118095,0.640021,39.762554,26.347105,1.0,0.0,0.0,0.0,1025.447632
MFG-S00014,WO0014,0,正常生产,0.5,30.0,0.0,0.0,1.0,0.751522,0.910992,0.022359,0.668576,0.0,0.0,0.0,0.0,0.0,0.0,496.832367
MFG-S00015,WO0015,1,关键参数越限且质量冻结发运,0.5,200.0,0.02,0.0,1.0,0.77751,0.967181,0.016951,1.143998,1.0,0.0,0.0,1.0,1.0,0.0,478.119629
MFG-S00016,WO0016,0,正常生产,0.5,110.0,0.0,0.0,0.0,0.875161,0.850123,0.019256,0.243266,0.0,0.0,0.0,0.0,0.0,0.0,996.297119
MFG-S00017,WO0017,1,供应商资质过期与来料质量恶化,1.0,-47.838486,0.295518,0.0,1.0,0.801897,0.992723,0.006581,0.652034,0.0,0.0,0.0,0.0,0.0,0.0,43.471737
MFG-S00018,WO0018,1,关键设备维护校准逾期并报警,0.0,231.0,0.0,0.0,1.0,0.976973,0.98064,0.050474,0.082133,30.977304,38.736275,1.0,0.0,0.0,0.0,7.682249
MFG-S00019,WO0019,1,多维叠加高风险,1.0,-25.242079,0.03,1.0,1.0,1.214088,0.988171,0.019846,1.190914,4.657266,0.0,1.0,0.0,1.0,6.0,54092.007812
MFG-S00020,WO0020,1,多维叠加高风险,1.0,-29.068501,0.0,1.0,0.0,1.40908,0.880013,0.006098,1.173484,23.624214,1.0,1.0,0.0,1.0,6.0,54702.359375
MFG-S00021,WO0021,0,正常生产,0.5,30.0,0.02,0.0,1.0,0.764708,0.890799,0.014141,0.671249,0.0,1.0,0.0,0.0,0.0,0.0,1380.636353
MFG-S00022,WO0022,0,正常生产,0.5,30.0,0.0,0.0,1.0,0.987793,0.944727,0.019931,0.016554,0.0,0.0,0.0,0.0,0.0,0.0,1118.538208
MFG-S00023,WO0023,0,正常生产,0.5,200.0,0.02,0.0,1.0,1.039313,0.979329,0.010179,0.546469,0.0,0.0,0.0,0.0,0.0,0.0,232.047897
MFG-S00024,WO0024,0,正常生产,0.5,110.0,0.0,0.0,0.0,0.849096,0.865498,0.018751,0.669211,0.0,0.0,0.0,0.0,0.0,1.0,633.028015
MFG-S00025,WO0025,1,关键参数越限且质量冻结发运,0.0,322.0,0.02,0.0,1.0,0.789021,0.853929,0.004482,1.399676,0.0,0.0,0.0,1.0,1.0,0.0,1014.453369
MFG-S00026,WO0026,0,正常生产,0.0,231.0,0.03,0.0,1.0,0.959037,0.909562,0.019994,0.283705,0.0,0.0,0.0,0.0,0.0,0.0,75.119484
MFG-S00027,WO0027,0,正常生产,0.5,141.0,0.02,0.0,1.0,0.936481,0.869153,0.020236,0.139466,1.0,0.0,0.0,0.0,0.0,0.0,919.385315
MFG-S00028,WO0028,0,正常生产,0.0,172.0,0.0,0.0,0.0,1.015077,0.968225,0.002591,0.177349,0.0,0.0,0.0,0.0,0.0,1.0,1187.635864
MFG-S00029,WO0029,1,多维叠加高风险,1.0,-6.990117,0.02,1.0,1.0,1.243611,0.914214,0.008317,1.672097,8.743874,0.0,1.0,0.0,1.0,4.0,13674.476562
MFG-S00030,WO0030,1,重复高额客户投诉,0.5,30.0,0.112774,0.0,1.0,1.017345,0.90873,0.018868,0.201665,0.0,0.0,0.0,0.0,0.0,6.0,32644.339844
MFG-S00031,WO0031,0,正常生产,0.5,200.0,0.02,0.0,1.0,1.055661,0.952825,0.01131,0.720558,0.0,0.0,0.0,0.0,0.0,1.0,223.340912
MFG-S00032,WO0032,1,多维叠加高风险,1.0,-50.797417,0.0,1.0,0.0,1.571921,0.915498,0.002788,1.532899,24.991482,1.0,1.0,0.0,1.0,6.0,54949.761719
MFG-S00033,WO0033,0,正常生产,0.0,322.0,0.02,0.0,1.0,0.853442,0.985233,0.011181,0.084014,0.0,1.0,0.0,0.0,0.0,0.0,615.19812
MFG-S00034,WO0034,0,正常生产,0.0,231.0,0.0,0.0,1.0,0.991975,0.907904,0.012914,0.513716,0.0,0.0,0.0,0.0,0.0,0.0,172.083649
MFG-S00035,WO0035,1,多维叠加高风险,1.0,-52.73381,0.02,1.0,1.0,1.347189,0.975046,0.020586,1.230594,10.479839,0.0,1.0,0.0,1.0,5.0,16100.052734
MFG-S00036,WO0036,1,未检关键物料领料并超BOM,0.0,172.0,0.0,1.0,1.0,1.664289,0.919843,0.179547,0.532473,0.0,0.0,0.0,0.0,0.0,0.0,330.934052
MFG-S00037,WO0037,0,正常生产,0.5,30.0,0.02,0.0,1.0,1.047294,0.924635,0.006428,0.027184,0.0,0.0,0.0,0.0,0.0,0.0,1331.367676
MFG-S00038,WO0038,1,多维叠加高风险,1.0,-43.713982,0.03,1.0,1.0,1.608268,0.979834,0.00401,1.344088,9.566045,0.0,1.0,0.0,1.0,2.0,47581.667969
MFG-S00039,WO0039,0,正常生产,0.5,200.0,0.03,0.0,1.0,0.765517,0.856628,0.003132,0.66686,1.0,0.0,0.0,0.0,0.0,0.0,1468.249023
MFG-S00040,WO0040,1,重复高额客户投诉,0.5,110.0,0.095626,0.0,0.0,1.044518,0.856107,0.003523,0.6721,0.0,0.0,0.0,0.0,0.0,6.0,54900.992188
MFG-S00041,WO0041,0,正常生产,0.0,322.0,0.02,0.0,1.0,1.016725,0.896431,0.006435,0.366643,0.0,0.0,0.0,0.0,0.0,1.0,1021.919922
MFG-S00042,WO0042,1,重复高额客户投诉,0.0,231.0,0.121378,0.0,1.0,0.894031,0.913644,0.004002,0.534718,0.0,0.0,0.0,0.0,0.0,6.0,63848.59375
MFG-S00043,WO0043,0,正常生产,0.5,141.0,0.02,0.0,1.0,0.808024,1.005527,0.005298,0.150407,0.0,0.0,0.0,0.0,0.0,0.0,427.462555
MFG-S00044,WO0044,0,正常生产,0.0,172.0,0.0,0.0,0.0,0.907148,0.982395,0.002361,0.394433,0.0,1.0,0.0,0.0,0.0,1.0,82.794632
MFG-S00045,WO0045,1,未检关键物料领料并超BOM,0.5,30.0,0.02,1.0,1.0,1.583448,0.917585,0.137551,0.108279,0.0,1.0,0.0,0.0,0.0,1.0,593.779785
MFG-S00046,WO0046,1,多维叠加高风险,1.0,-17.218397,0.0,1.0,1.0,1.64781,0.976674,0.005225,1.092308,19.053377,0.0,1.0,0.0,1.0,3.0,20064.386719
MFG-S00047,WO0047,0,正常生产,0.5,200.0,0.02,0.0,1.0,0.758222,0.901007,0.009909,0.249953,0.0,0.0,0.0,0.0,0.0,0.0,69.227898
MFG-S00048,WO0048,1,关键设备维护校准逾期并报警,0.5,110.0,0.0,0.0,0.0,0.835244,0.902942,0.047575,0.6142,16.386656,41.337757,1.0,0.0,0.0,0.0,43.080765
MFG-S00049,WO0049,0,正常生产,0.0,322.0,0.02,0.0,1.0,0.911438,1.01109,0.001804,0.570624,0.0,0.0,0.0,0.0,0.0,1.0,1395.571655
MFG-S00050,WO0050,0,正常生产,0.0,231.0,0.0,0.0,1.0,0.930635,0.928206,0.023935,0.435926,0.0,0.0,0.0,0.0,0.0,0.0,396.074341
MFG-S00051,WO0051,0,正常生产,0.5,141.0,0.02,0.0,1.0,0.989197,0.88894,0.007311,0.509096,1.0,0.0,0.0,0.0,0.0,1.0,896.521851
MFG-S00052,WO0052,1,多维叠加高风险,1.0,-23.145391,0.03,1.0,0.0,1.449662,0.934949,0.013574,1.397692,8.677029,0.0,1.0,0.0,1.0,6.0,24170.121094
MFG-S00053,WO0053,0,正常生产,0.5,30.0,0.02,0.0,1.0,0.867743,0.856206,0.007767,0.492273,0.0,0.0,0.0,0.0,0.0,1.0,1057.22937
MFG-S00054,WO0054,1,多维叠加高风险,1.0,-5.046762,0.0,1.0,1.0,1.38849,0.947837,0.020965,1.299858,5.953274,0.0,1.0,0.0,1.0,2.0,11141.847656
MFG-S00055,WO0055,0,正常生产,0.5,200.0,0.02,0.0,1.0,1.059355,0.942608,0.007639,0.325707,0.0,0.0,0.0,0.0,0.0,1.0,233.011505
MFG-S00056,WO0056,1,多维叠加高风险,1.0,-33.427734,0.0,1.0,0.0,1.400119,0.869284,0.003048,1.489853,22.900778,1.0,1.0,0.0,1.0,3.0,37489.582031
MFG-S00057,WO0057,1,关键参数越限且质量冻结发运,0.0,322.0,0.03,0.0,1.0,0.991125,1.011024,0.011042,1.732081,0.0,1.0,0.0,1.0,1.0,0.0,87.192734
MFG-S00058,WO0058,0,正常生产,0.0,231.0,0.0,0.0,1.0,0.866282,1.017875,0.023711,0.213332,0.0,0.0,0.0,0.0,0.0,1.0,218.358215
MFG-S00059,WO0059,1,供应商资质过期与来料质量恶化,1.0,-35.803978,0.129742,0.0,1.0,0.777162,0.852714,0.000807,0.266399,0.0,0.0,0.0,0.0,0.0,0.0,941.28949
