sample_id,source_work_order_id,label,scenario,supplier_risk_level,supplier_qualification_days,iqc_defect_rate,inventory_hold_flag,material_critical_flag,issue_over_bom_ratio,work_order_progress_ratio,scrap_rate,process_parameter_deviation,equipment_maintenance_overdue_days,equipment_calibration_overdue_days,equipment_alarm_flag,quality_hold_flag,shipment_release_gap_flag,customer_complaint_count_30d,complaint_claim_amount
MFG-S00001,WO0001,0,正常生产,0.0,322.0,0.02,0.0,1.0,0.983731,0.987217,0.002662,0.465429,0.0,0.0,0.0,0.0,0.0,1.0,134.614044
MFG-S00002,WO0002,1,未检关键物料领料并超BOM,0.0,231.0,0.0,1.0,1.0,1.474671,0.850477,0.086439,0.729616,0.0,0.0,0.0,0.0,0.0,0.0,940.160645
MFG-S00003,WO0003,0,正常生产,0.5,141.0,0.02,0.0,1.0,1.007889,1.009471,0.011693,0.081789,1.0,0.0,0.0,0.0,0.0,0.0,257.253479
MFG-S00004,WO0004,0,正常生产,0.0,172.0,0.0,0.0,0.0,0.946319,0.898533,0.000396,0.183464,0.0,0.0,0.0,0.0,0.0,0.0,878.821411
MFG-S00005,WO0005,0,正常生产,0.5,30.0,0.02,0.0,1.0,0.908969,0.901977,0.024582,0.708745,0.0,0.0,0.0,0.0,0.0,0.0,775.269836
MFG-S00006,WO0006,0,正常生产,0.5,30.0,0.0,0.0,1.0,1.013497,0.922243,0.00591,0.210291,0.0,0.0,0.0,0.0,0.0,1.0,117.485748
MFG-S00007,WO0007,0,正常生产,0.5,200.0,0.02,0.0,1.0,0.984509,0.91038,0.022891,0.614165,0.0,0.0,0.0,0.0,0.0,0.0,621.239136
MFG-S00008,WO0008,1,未检关键物料领料并超BOM,0.5,110.0,0.0,1.0,1.0,1.756594,0.925982,0.169116,0.291061,0.0,1.0,0.0,0.0,0.0,1.0,723.446289
MFG-S00009,WO0009,1,未检关键物料领料并超BOM,0.0,322.0,0.02,1.0,1.0,1.711722,0.909409,0.117732,0.006575,0.0,1.0,0.0,0.0,0.0,0.0,1435.787842
MFG-S00010,WO0010,1,关键设备维护校准逾期并报警,0.0,231.0,0.0,0.0,1.0,0.925386,0.990005,0.060537,0.414045,37.118645,17.259428,1.0,0.0,0.0,0.0,531.427795
MFG-S00011,WO0011,0,正常生产,0.5,141.0,0.02,0.0,1.0,0.862332,1.021774,0.024664,0.165544,0.0,0.0,0.0,0.0,0.0,0.0,605.713867
MFG-S00012,WO0012,1,重复高额客户投诉,0.0,172.0,0.070738,0.0,0.0,0.813351,1.000373,0.021634,0.036617,0.0,0.0,0.0,0.0,0.0,5.0,26793.400391
MFG-S00013,WO0013,1,关键设备维护校准逾期并报警,0.5,30.0,0.03,0.0,1.0,1.030238,0.90193,0.04435,0.569218,25.89892,41.227158,1.0,0.0,0.0,1.0,1172.379395
MFG-S00014,WO0014,1,未检关键物料领料并超BOM,0.5,30.0,0.0,1.0,1.0,1.613388,0.938996,0.06887,0.356804,0.0,0.0,0.0,0.0,0.0,0.0,1224.890991
MFG-S00015,WO0015,0,正常生产,0.5,200.0,0.02,0.0,1.0,0.989748,0.87661,0.01002,0.431919,1.0,0.0,0.0,0.0,0.0,1.0,1492.761597
MFG-S00016,WO0016,1,重复高额客户投诉,0.5,110.0,0.123035,0.0,0.0,1.022326,0.899607,0.018083,0.306966,0.0,0.0,0.0,0.0,0.0,6.0,54680.714844
MFG-S00017,WO0017,0,正常生产,0.0,322.0,0.02,0.0,1.0,0.87673,0.888356,0.012446,0.68659,0.0,0.0,0.0,0.0,0.0,1.0,273.31488
